0 193 11;
0 195 46;
32926.7 132 59 0;
32926.7 132 69 0;
32926.7 147 72 127;
32926.7 131 81 0;
32926.7 145 52 95;
32926.7 145 72 95;
32926.7 148 72 99;
32926.7 147 84 127;
32926.7 148 57 111;
33109.7 129 52 0;
33109.7 129 72 0;
33109.7 129 48 0;
33109.7 129 55 0;
33109.7 129 60 0;
33292.6 147 83 111;
33292.6 147 71 111;
33292.6 147 74 111;
33292.6 131 76 0;
33292.6 131 72 0;
33292.6 132 57 0;
33292.6 145 71 95;
33292.6 132 60 0;
33292.6 132 72 0;
33292.6 148 71 95;
33292.6 131 84 0;
33292.6 148 59 95;
33475.5 147 76 111;
33475.5 148 72 95;
33475.5 145 72 95;
33475.5 147 72 111;
33475.5 132 71 0;
33475.5 131 83 0;
33475.5 131 71 0;
33475.5 131 74 0;
33475.5 147 84 111;
33475.5 129 71 0;
33658.4 147 69 111;
33658.4 145 69 95;
33658.4 148 69 95;
33658.4 148 57 95;
33658.4 132 72 0;
33658.4 147 72 111;
33658.4 129 72 0;
33658.4 131 72 0;
33658.4 131 76 0;
33658.4 147 81 111;
33658.4 132 59 0;
33658.4 131 84 0;
33841.4 129 69 0;
34024.3 145 47 95;
34024.3 131 69 0;
34024.3 131 72 0;
34024.3 147 76 127;
34024.3 147 72 127;
34024.3 145 59 95;
34024.3 132 69 0;
34024.3 131 81 0;
34024.3 148 57 111;
34024.3 148 59 95;
34024.3 148 72 103;
34024.3 145 50 95;
34024.3 145 55 95;
34024.3 145 72 95;
34024.3 132 57 0;
34024.3 147 84 127;
34207.2 129 47 0;
34207.2 129 72 0;
34207.2 129 55 0;
34207.2 129 50 0;
34207.2 129 59 0;
34390.1 145 71 95;
34390.1 148 71 95;
34390.1 147 83 111;
34390.1 148 57 95;
34390.1 132 57 0;
34390.1 131 76 0;
34390.1 132 72 0;
34390.1 131 84 0;
34390.1 131 72 0;
34390.1 147 71 111;
34390.1 132 59 0;
34390.1 147 74 111;
34573.1 148 72 95;
34573.1 131 71 0;
34573.1 131 74 0;
34573.1 147 76 111;
34573.1 131 83 0;
34573.1 147 72 111;
34573.1 129 71 0;
34573.1 145 72 95;
34573.1 132 71 0;
34573.1 147 84 111;
34756 148 69 95;
34756 129 72 0;
34756 145 69 95;
34756 147 81 111;
34756 147 69 111;
34756 132 72 0;
34756 147 72 111;
34756 131 76 0;
34756 131 72 0;
34756 131 84 0;
34756 148 59 95;
34756 132 57 0;
34938.9 129 69 0;
35121.8 131 72 0;
35121.8 148 64 95;
35121.8 145 52 95;
35121.8 148 57 99;
35121.8 132 59 0;
35121.8 145 72 95;
35121.8 147 72 127;
35121.8 145 55 95;
35121.8 147 64 111;
35121.8 132 69 0;
35121.8 147 81 127;
35121.8 131 81 0;
35121.8 131 69 0;
35121.8 145 60 95;
35121.8 147 67 111;
35121.8 148 72 99;
35121.8 145 64 95;
35304.8 129 64 0;
35304.8 129 52 0;
35304.8 129 60 0;
35304.8 129 72 0;
35304.8 129 55 0;
35487.7 145 71 95;
35487.7 148 62 95;
35487.7 132 64 0;
35487.7 131 72 0;
35487.7 131 81 0;
35487.7 147 62 111;
35487.7 147 71 111;
35487.7 147 81 127;
35487.7 132 57 0;
35487.7 148 71 95;
35487.7 132 72 0;
35487.7 131 64 0;
35670.6 131 81 0;
35670.6 132 71 0;
35670.6 148 72 95;
35670.6 129 71 0;
35670.6 131 71 0;
35670.6 147 79 127;
35670.6 147 72 111;
35670.6 131 62 0;
35670.6 147 64 111;
35670.6 145 72 95;
35853.5 129 72 0;
35853.5 148 69 95;
35853.5 132 72 0;
35853.5 131 64 0;
35853.5 131 79 0;
35853.5 131 67 0;
35853.5 145 69 95;
35853.5 147 69 111;
35853.5 148 60 95;
35853.5 147 60 111;
35853.5 147 64 111;
35853.5 132 62 0;
35853.5 131 72 0;
35853.5 147 77 127;
36036.5 129 69 0;
36036.5 131 77 0;
36036.5 147 74 127;
36219.4 145 62 95;
36219.4 147 72 127;
36219.4 147 64 111;
36219.4 147 67 111;
36219.4 148 62 95;
36219.4 148 72 99;
36219.4 148 57 111;
36219.4 132 60 0;
36219.4 147 76 127;
36219.4 131 64 0;
36219.4 131 60 0;
36219.4 131 69 0;
36219.4 145 50 95;
36219.4 145 59 95;
36219.4 145 55 95;
36219.4 145 72 95;
36219.4 131 74 0;
36219.4 132 69 0;
36402.3 129 72 0;
36402.3 129 55 0;
36402.3 129 50 0;
36402.3 129 62 0;
36402.3 129 59 0;
36585.2 131 64 0;
36585.2 131 76 0;
36585.2 131 72 0;
36585.2 147 76 127;
36585.2 132 72 0;
36585.2 132 62 0;
36585.2 147 71 111;
36585.2 145 71 95;
36585.2 148 60 95;
36585.2 148 71 95;
36585.2 132 57 0;
36585.2 147 62 111;
36768.2 129 71 0;
36768.2 148 72 95;
36768.2 131 62 0;
36768.2 131 76 0;
36768.2 132 71 0;
36768.2 145 72 95;
36768.2 147 77 127;
36768.2 147 64 111;
36768.2 131 71 0;
36768.2 147 72 111;
36951.1 147 64 111;
36951.1 148 59 95;
36951.1 148 69 95;
36951.1 145 69 95;
36951.1 129 72 0;
36951.1 131 64 0;
36951.1 132 72 0;
36951.1 131 67 0;
36951.1 131 72 0;
36951.1 147 69 111;
36951.1 147 76 127;
36951.1 147 60 111;
36951.1 131 77 0;
36951.1 132 60 0;
37134 147 72 127;
37134 131 76 0;
37134 129 69 0;
37317 145 52 95;
37317 131 69 0;
37317 147 72 127;
37317 147 64 111;
37317 148 60 95;
37317 148 72 99;
37317 131 72 0;
37317 147 74 127;
37317 132 69 0;
37317 131 64 0;
37317 145 72 95;
37317 145 60 95;
37317 145 55 95;
37317 132 59 0;
37317 148 57 111;
37317 131 60 0;
37317 147 67 111;
37317 145 48 95;
37499.9 129 72 0;
37499.9 129 55 0;
37499.9 129 52 0;
37499.9 129 48 0;
37499.9 129 60 0;
37682.8 132 72 0;
37682.8 131 64 0;
37682.8 147 62 111;
37682.8 147 74 127;
37682.8 132 60 0;
37682.8 145 71 95;
37682.8 131 72 0;
37682.8 148 71 95;
37682.8 148 59 95;
37682.8 131 74 0;
37682.8 147 71 111;
37682.8 132 57 0;
37865.7 131 62 0;
37865.7 148 72 95;
37865.7 147 64 111;
37865.7 147 76 127;
37865.7 132 71 0;
37865.7 131 71 0;
37865.7 131 74 0;
37865.7 145 72 95;
37865.7 147 72 111;
37865.7 129 71 0;
38048.7 132 59 0;
38048.7 129 72 0;
38048.7 145 69 95;
38048.7 147 64 111;
38048.7 147 60 111;
38048.7 132 72 0;
38048.7 147 69 111;
38048.7 131 64 0;
38048.7 131 76 0;
38048.7 131 67 0;
38048.7 147 74 127;
38048.7 131 72 0;
38048.7 148 57 95;
38048.7 148 69 95;
38231.6 147 72 127;
38231.6 129 69 0;
38231.6 131 74 0;
38414.5 145 50 95;
38414.5 148 59 95;
38414.5 148 57 111;
38414.5 132 57 0;
38414.5 132 69 0;
38414.5 147 67 111;
38414.5 145 47 95;
38414.5 148 72 103;
38414.5 145 72 95;
38414.5 131 72 0;
38414.5 131 64 0;
38414.5 131 60 0;
38414.5 131 69 0;
38414.5 145 55 95;
38414.5 147 64 111;
38414.5 147 69 127;
38414.5 147 72 127;
38414.5 145 59 95;
38597.4 129 47 0;
38597.4 129 50 0;
38597.4 129 59 0;
38597.4 129 72 0;
38597.4 129 55 0;
38780.4 148 57 95;
38780.4 132 72 0;
